import time: self [us] | cumulative | imported package
import time:       929 |        929 |                                     yaml.resolver
import time:       333 |       5510 |                                   yaml.loader
import time:      2859 |       2859 |                                     yaml.emitter
import time:       255 |        255 |                                     yaml.serializer
import time:       357 |        357 |                                     yaml.representer
import time:       309 |       3779 |                                   yaml.dumper
import time:       463 |        463 |                                     yaml._yaml
import time:       381 |        844 |                                   yaml.cyaml
import time:       289 |      11618 |                                 yaml
import time:       121 |        121 |                                 donfig._lock
import time:       452 |      12481 |                               donfig.config_obj
import time:       140 |      12719 |                             donfig
import time:       417 |      13135 |                           zarr.core.config
import time:       300 |        300 |                                 zarr.errors
import time:       398 |        698 |                               zarr.core.common
import time:      1494 |       2192 |                             zarr.core.dtype.common
import time:       127 |        127 |                               zarr.core.dtype.npy
import time:       544 |        544 |                               zarr.core.dtype.wrapper
import time:       522 |       1192 |                             zarr.core.dtype.npy.bool
import time:       419 |        419 |                               zarr.core.dtype.npy.common
import time:      1594 |       2013 |                             zarr.core.dtype.npy.bytes
import time:      1244 |       1244 |                             zarr.core.dtype.npy.complex
