import time: self [us] | cumulative | imported package
import time:       149 |        298 |             meshio.medit._medit
import time:        62 |        360 |           meshio.medit
import time:       156 |        156 |             meshio.nastran._nastran
import time:        63 |        219 |           meshio.nastran
import time:       165 |        165 |             meshio.netgen._netgen
import time:        69 |        234 |           meshio.netgen
import time:        92 |         92 |             meshio.neuroglancer._neuroglancer
import time:        64 |        156 |           meshio.neuroglancer
import time:        87 |         87 |             meshio.obj._obj
import time:        60 |        147 |           meshio.obj
import time:        81 |         81 |             meshio.off._off
import time:        56 |        137 |           meshio.off
import time:       139 |        139 |             meshio.permas._permas
import time:        61 |        200 |           meshio.permas
import time:       118 |        118 |             meshio.su2._su2
import time:        63 |        180 |           meshio.su2
import time:        89 |         89 |             meshio.svg._svg
import time:        56 |        145 |           meshio.svg
import time:       160 |        160 |             meshio.tecplot._tecplot
import time:        57 |        216 |           meshio.tecplot
import time:       101 |        101 |             meshio.tetgen._tetgen
import time:        66 |        166 |           meshio.tetgen
import time:       111 |        111 |             meshio.ugrid._ugrid
import time:        58 |        168 |           meshio.ugrid
import time:      1818 |       1818 |             meshio.wkt._wkt
import time:        67 |       1884 |           meshio.wkt
import time:       310 |      15420 |         meshio
import time:       178 |        178 |         celeri.constants
import time:      1634 |       1634 |             h5py._errors
import time:       666 |        666 |                 h5py.defs
import time:        37 |         37 |                   gc
import time:       256 |        293 |                 h5py._objects
import time:       120 |        120 |                 h5py.h5py_warnings
import time:       246 |       1323 |               h5py.h5
import time:       256 |       1578 |             h5py.version
import time:       159 |        159 |                     h5py.utils
import time:      2294 |       2453 |                   h5py.h5t
import time:       462 |        462 |                   h5py.h5s
import time:       162 |        162 |                   h5py.h5ac
import time:       970 |       4046 |                 h5py.h5p
import time:       225 |       4270 |               h5py.h5r
import time:       169 |        169 |                 h5py._npystrings
import time:       227 |        395 |               h5py._proxy
import time:       383 |       5046 |             h5py._conv
import time:       241 |        241 |             h5py.h5z
import time:       281 |        281 |             h5py.h5a
import time:       511 |        511 |             h5py.h5d
import time:       350 |        350 |             h5py.h5ds
import time:       343 |        343 |               h5py.h5g
import time:       184 |        184 |               h5py.h5i
import time:       262 |        262 |               h5py.h5o
import time:       623 |       1409 |             h5py.h5f
import time:       328 |        328 |             h5py.h5fd
import time:       157 |        157 |             h5py.h5pl
import time:        84 |         84 |             h5py._hl
import time:        62 |         62 |                 h5py._hl.compat
